,workclass
0, State-gov
1, Self-emp-not-inc
2, Private
3, Private
4, Private
5, Private
6, Private
7, Self-emp-not-inc
8, Private
9, Private
10, Private
11, State-gov
12, Private
13, Private
14, Private
15, Private
16, Self-emp-not-inc
17, Private
18, Private
19, Self-emp-not-inc
20, Private
21, Private
22, Federal-gov
23, Private
24, Private
25, Local-gov
26, Private
27, ?
28, Private
29, Private
30, Local-gov
31, Private
32, Private
33, Federal-gov
34, State-gov
35, Private
36, Private
37, Private
38, Private
39, Self-emp-not-inc
40, Private
41, Self-emp-not-inc
42, Private
43, Private
44, Private
45, Federal-gov
46, Private
47, Private
48, State-gov
49, Private
50, Private
51, Private
52, Private
53, Federal-gov
54, Self-emp-inc
55, Private
56, Private
57, Private
58, Private
59, Private
60, Private
61, ?
62, Private
63, Private
64, Private
65, Private
66, Private
67, Private
68, Self-emp-inc
69, ?
70, Private
71, Private
72, Self-emp-not-inc
73, Private
74, Private
75, Private
76, Private
77, ?
78, Private
79, Local-gov
80, Private
81, Private
82, Private
83, Private
84, Private
85, Private
86, Local-gov
87, Private
88, Private
89, Federal-gov
90, Private
91, Private
92, Private
93, Private
94, Local-gov
95, Local-gov
96, Self-emp-not-inc
97, Private
98, Private
99, Federal-gov
100, Private
101, Private
102, Self-emp-not-inc
103, Private
104, Private
105, Self-emp-inc
106, ?
107, Private
108, Local-gov
109, Private
110, Private
111, Private
112, Self-emp-not-inc
113, Private
114, Private
115, Private
116, Self-emp-inc
117, Local-gov
118, Private
119, Private
120, Private
121, Private
122, Private
123, State-gov
124, Private
125, Private
126, Private
127, Private
128, ?
129, Private
130, Private
131, Private
132, Self-emp-not-inc
133, Private
134, Private
135, Federal-gov
136, Self-emp-not-inc
137, Private
138, Private
139, Private
140, Self-emp-inc
141, Private
142, Private
143, Private
144, Private
145, Private
146, Private
147, Private
148, Private
149, ?
150, Local-gov
151, Private
152, Private
153, Private
154, ?
155, Private
156, Private
157, Self-emp-not-inc
158, Private
159, Private
160, ?
161, Private
162, Self-emp-inc
163, Private
164, Self-emp-not-inc
165, Private
166, Federal-gov
167, State-gov
168, Private
169, Local-gov
170, Private
171, State-gov
172, Private
173, Private
174, State-gov
175, Private
176, Private
177, Private
178, Private
179, Private
180, Local-gov
181, Private
182, Private
183, Private
184, Federal-gov
185, Private
186, Self-emp-not-inc
187, ?
188, Private
189, State-gov
190, Private
191, Private
192, Local-gov
193, Private
194, Federal-gov
195, Private
196, Private
197, Federal-gov
198, Private
199, Self-emp-not-inc
200, Private
201, ?
202, Private
203, Local-gov
204, State-gov
205, Private
206, Private
207, Private
208, Self-emp-inc
209, Private
210, Local-gov
211, Private
212, Private
213, Private
214, Self-emp-inc
215, Private
216, Private
217, Private
218, Private
219, Private
220, Private
221, ?
222, Private
223, Private
224, Local-gov
225, Private
226, ?
227, Self-emp-not-inc
228, Private
229, Private
230, Private
231, Private
232, Private
233, Private
234, Private
235, State-gov
236, State-gov
237, Private
238, Local-gov
239, Private
240, Private
241, Self-emp-not-inc
242, State-gov
243, ?
244, Private
245, Private
246, Private
247, Private
248, Private
249, Private
250, Private
251, Private
252, Local-gov
253, Local-gov
254, Private
255, Self-emp-not-inc
256, Private
257, Private
258, Private
259, Private
260, Private
261, Private
262, Private
263, Private
264, Private
265, Self-emp-inc
266, ?
267, Private
268, Private
269, Private
270, Private
271, Private
272, Self-emp-not-inc
273, Local-gov
274, Private
275, Private
276, Private
277, Private
278, Private
279, Private
280, Private
281, Local-gov
282, Private
283, Private
284, Private
285, Federal-gov
286, Private
287, Private
288, Private
289, Private
290, Private
291, Private
292, Local-gov
293, Private
294, Private
295, Private
296, Self-emp-inc
297, ?
298, Private
299, Private
300, Private
301, Private
302, Private
303, Private
304, Private
305, Private
306, Private
307, Private
308, Private
309, Self-emp-inc
310, Private
311, Private
312, ?
313, Self-emp-not-inc
314, Private
315, Private
316, Self-emp-not-inc
317, Private
318, Private
319, Private
320, Self-emp-not-inc
321, Private
322, Private
323, Private
324, Self-emp-not-inc
325, Self-emp-not-inc
326, ?
327, Private
328, Self-emp-not-inc
329, Private
330, Private
331, Private
332, Private
333, Local-gov
334, Private
335, Private
336, Private
337, Private
338, Private
339, Private
340, Private
341, Private
342, State-gov
343, Private
344, State-gov
345, Self-emp-not-inc
346, ?
347, ?
348, Private
349, Private
350, Private
351, Private
352, Private
353, Local-gov
354, ?
355, Federal-gov
356, Private
357, Private
358, Private
359, Self-emp-not-inc
360, Private
361, Private
362, Private
363, Private
364, Private
365, Private
366, Self-emp-not-inc
367, Private
368, Private
369, Private
370, Federal-gov
371, Private
372, State-gov
373, Private
374, Private
375, Local-gov
376, Private
377, Private
378, Self-emp-not-inc
379, Private
380, Private
381, Private
382, Private
383, Private
384, Local-gov
385, Private
386, Private
387, Private
388, Private
389, Private
390, Private
391, Private
392, Self-emp-not-inc
393, State-gov
394, Private
395, Private
396, Private
397, ?
398, Private
399, Self-emp-inc
400, Private
401, Private
402, State-gov
403, Private
404, Private
405, Private
406, Private
407, Self-emp-not-inc
408, ?
409, Private
410, Local-gov
411, Private
412, Private
413, Private
414, State-gov
415, Private
416, Private
417, Private
418, Local-gov
419, State-gov
420, Private
421, Private
422, State-gov
423, Private
424, Private
425, Private
426, Federal-gov
427, Private
428, Self-emp-inc
429, Local-gov
430, ?
431, ?
432, Self-emp-not-inc
433, Private
434, Private
435, Private
436, Local-gov
437, Local-gov
438, Private
439, Local-gov
440, Private
441, Private
442, Federal-gov
443, Private
444, Private
445, Private
446, Private
447, Private
448, Private
449, ?
450, Private
451, Self-emp-inc
452, Private
453, Private
454, Self-emp-not-inc
455, Private
456, Private
457, Private
458, Private
459, ?
460, Private
461, Local-gov
462, Private
463, Private
464, Private
465, Private
466, Private
467, Private
468, Private
469, Private
470, Private
471, ?
472, Private
473, Private
474, Private
475, Private
476, Private
477, Private
478, Private
479, Private
480, Private
481, Self-emp-not-inc
482, State-gov
483, Private
484, ?
485, Private
486, ?
487, Local-gov
488, Local-gov
489, Private
490, Private
491, Federal-gov
492, Private
493, Private
494, Private
495, Private
496, Private
497, Private
498, Private
499, ?
500, Local-gov
501, Local-gov
502, Private
503, Private
504, Private
505, Private
506, Private
507, Private
508, Local-gov
509, Private
510, Private
511, ?
512, Private
513, Private
514, Private
515, ?
516, Private
517, ?
518, ?
519, Private
520, Self-emp-inc
521, Private
522, Local-gov
523, Local-gov
524, Private
525, Private
526, Private
527, Private
528, Self-emp-not-inc
529, Self-emp-not-inc
530, Private
531, Private
532, Private
533, Private
534, Private
535, Local-gov
536, Private
537, Private
538, Self-emp-inc
539, ?
540, Private
541, Private
542, Private
543, Private
544, Private
545, Private
546, Private
547, Local-gov
548, Private
549, Private
550, Self-emp-not-inc
551, Self-emp-not-inc
552, Private
553, Private
554, Federal-gov
555, Private
556, Private
557, Private
558, Private
559, Private
560, Private
561, Private
562, Private
563, Private
564, Self-emp-not-inc
565, Private
566, Self-emp-inc
567, Private
568, Self-emp-not-inc
569, Private
570, Private
571, Private
572, Private
573, Private
574, Private
575, Private
576, ?
577, Self-emp-not-inc
578, Local-gov
579, Self-emp-not-inc
580, ?
581, Private
582, Private
583, Private
584, Self-emp-not-inc
585, Private
586, Private
587, Private
588, Private
589, Self-emp-inc
590, ?
591, ?
592, Private
593, Private
594, Private
595, Private
596, ?
597, Self-emp-not-inc
598, Private
599, Private
600, Private
601, Private
602, Private
603, Local-gov
604, Self-emp-not-inc
605, Private
606, Private
607, Private
608, Local-gov
609, Private
610, Private
611, Private
612, Private
613, Local-gov
614, Private
615, Private
616, Private
617, Self-emp-not-inc
618, Self-emp-inc
619, Private
620, Private
621, Private
622, Private
623, Private
624, Private
625, Private
626, Private
627, Self-emp-not-inc
628, Private
629, Private
630, Self-emp-not-inc
631, Local-gov
632, Private
633, Private
634, Self-emp-not-inc
635, Private
636, Private
637, Private
638, Self-emp-inc
639, Self-emp-not-inc
640, Private
641, Private
642, Private
643, Private
644, Private
645, Self-emp-inc
646, Local-gov
647, Private
648, ?
649, State-gov
650, Private
651, Private
652, Private
653, State-gov
654, Private
655, State-gov
656, ?
657, Private
658, Private
659, Private
660, Self-emp-not-inc
661, Private
662, Private
663, Local-gov
664, Private
665, Private
666, State-gov
667, Private
668, ?
669, Private
670, Federal-gov
671, ?
672, Self-emp-not-inc
673, Private
674, Self-emp-inc
675, Private
676, Private
677, Private
678, Private
679, Self-emp-not-inc
680, Local-gov
681, Private
682, Self-emp-not-inc
683, Local-gov
684, State-gov
685, Private
686, ?
687, Local-gov
688, Private
689, Private
690, Local-gov
691, Private
692, Private
693, Private
694, State-gov
695, ?
696, Private
697, Private
698, Private
699, Private
700, Local-gov
701, Private
702, Private
703, Self-emp-not-inc
704, Private
705, Private
706, Private
707, Private
708, Private
709, Private
710, Private
711, Private
712, Private
713, Private
714, Local-gov
715, Private
716, Private
717, State-gov
718, Private
719, Private
720, Private
721, Private
722, Private
723, Local-gov
724, Private
725, Private
726, Private
727, Private
728, Private
729, Self-emp-not-inc
730, Private
731, Private
732, Private
733, Private
734, ?
735, Private
736, Private
737, State-gov
738, Private
739, Private
740, Private
741, Self-emp-not-inc
742, Private
743, Private
744, Private
745, Local-gov
746, Private
747, Private
748, Private
749, State-gov
750, State-gov
751, Private
752, Self-emp-not-inc
753, Private
754, Private
755, Private
756, Private
757, Local-gov
758, Federal-gov
759, Private
760, Private
761, Local-gov
762, Local-gov
763, Self-emp-inc
764, Private
765, Private
766, State-gov
767, Private
768, Self-emp-not-inc
769, Private
770, Private
771, Private
772, Private
773, Private
774, Private
775, Local-gov
776, Private
777, Private
778, Private
779, Private
780, State-gov
781, Private
782, Private
783, Self-emp-not-inc
784, Private
785, Private
786, Self-emp-not-inc
787, Private
788, ?
789, ?
790, Private
791, Self-emp-inc
792, ?
793, Private
794, Private
795, Private
796, Private
797, Private
798, Private
799, Private
800, Private
801, Private
802, Self-emp-not-inc
803, Private
804, Private
805, Private
806, ?
807, Private
808, Private
809, Private
810, Private
811, ?
812, Private
813, Private
814, Private
815, Self-emp-not-inc
816, Private
817, Private
818, Private
819, Private
820, Private
821, Private
822, Private
823, Private
824, Private
825, Private
826, Private
827, Private
